,,La Destruction,La Chasse,L'Érudition,L'Harmonie,La Nihilité,La Préservation,L'Abondance
Physique,5,Clara|Yunli|{M#Pionnier}{F#Pionnière},Le Fossoyeur,Argenti,Robin,,,
Physique,4,,Sushang,,Hanya,Luka,,Natasha
Feu,5,Luciole,Topaz et Compti,Himeko,,Jiaoqiu,{M#Pionnier}{F#Pionnière},Lingsha
Feu,4,Hook,,,Asta,Guinaifen,,Gallagher
Glace,5,Jingliu,Yanqing,,Ruan Mei,,Gepard,
Glace,4,Micha,,Herta,,Pela,March 7th,
Foudre,5,,,Jing Yuan,,Achéron|Kafka,,Bailu
Foudre,4,Arlan,Moze,Serval,Tingyun,,,
Vent,5,Blade,Feixiao,,Bronya,Cygne noir,,Huohuo
Vent,4,,Dan Heng,,,Sampo,,
Quantique,5,,Seele,Jade,Sparkle,Louve d'argent,Fu Xuan,
Quantique,4,Xueyi,,Qingque,,,,Lynx
Imaginaire,5,Dan Heng • Imbibitor Lunae,Dr Ratio,,{M#Pionnier}{F#Pionnière},Welt,Aventurine,Luocha
Imaginaire,4,,March 7th,,Yukong,,,
