,,A Destruição,A Caça,A Erudição,A Harmonia,A Inexistência,A Preservação,A Abundância
Físico,5,Clara|Desbrava{M#dor}{F#dora}|Yunli,Boothill,Argenti,Robin,,,
Físico,4,,Sushang,,Hanya,Luka,,Natasha
Fogo,5,Vaga-lume,Topaz e Dinheirinho,Himeko,,Jiaoqiu,Desbrava{M#dor}{F#dora},Lingsha
Fogo,4,Hook,,,Asta,Guinaifen,,Gallagher
Gelo,5,Jingliu,Yanqing,,Ruan Mei,,Gepard,
Gelo,4,Misha,,Herta,,Pela,7 de Março,
Raio,5,,,Jing Yuan,,Acheron|Kafka,,Bailu
Raio,4,Arlan,Moze,Serval,Tingyun,,,
Vento,5,Blade,Feixiao,,Bronya,Cisne Negro,,Huohuo
Vento,4,,Dan Heng,,,Sampo,,
Quântico,5,,Seele,Jade,Sparkle,Loba Prateada,Fu Xuan,
Quântico,4,Xueyi,,Qingque,,,,Lynx
Imaginário,5,Dan Heng - Embebidor Lunae,Dr. Ratio,,Desbrava{M#dor}{F#dora},Welt,Aventurine,Luocha
Imaginário,4,,7 de Março,,Yukong,,,
