,,Hủy Diệt,Săn Bắn,Tri Thức,Hòa Hợp,Hư Vô,Bảo Hộ,Trù Phú
Vật Lý,5,Clara|Nhà Khai Phá|Yunli,Boothill,Argenti,Robin,,,
Vật Lý,4,,Sushang,,Hanya,Luka,,Natasha
Hỏa,5,Firefly,Topaz & Numby,Himeko,,Jiaoqiu,Nhà Khai Phá,Lingsha
Hỏa,4,Hook,,,Asta,Guinaifen,,Gallagher
Băng,5,Jingliu,Yanqing,,Ruan Mei,,Gepard,
Băng,4,Misha,,Herta,,Pela,March 7th,
Lôi,5,,,Jing Yuan,,Acheron|Kafka,,Bailu
Lôi,4,Arlan,Moze,Serval,Tingyun,,,
Phong,5,Blade,Feixiao,,Bronya,Black Swan,,Huohuo
Phong,4,,Dan Heng,,,Sampo,,
Lượng Tử,5,,Seele,Jade,Sparkle,Sói Bạc,Fu Xuan,
Lượng Tử,4,Xueyi,,Qingque,,,,Lynx
Số Ảo,5,Dan Heng - Ẩm Nguyệt,Dr. Ratio,,Nhà Khai Phá,Welt,Aventurine,Luocha
Số Ảo,4,,March 7th,,Yukong,,,
